ID,NOMBRE,EDAD,PELICULA,TIPO,CALF
1,Isaac32,22,Toy Story 3,Infantil,5
2,Antonio13,20,Frozen II,Infantil,5
3,Uli2020,19,Jurassic Park,Ciencia Ficción,4
4,Rodrigo1,26,Star Wars, Ciencia Ficción,5
5,Erika24,50,Mamma Mia,Romantica,5
6,Cesarin34,21,IronMan,Ciencia Ficción,5
7,Fernando43,26,Doctor Strange,Ciencia Ficción,5
8,BenjiCCA,20,Que paso ayer, Comedia,5
9,Calderon89,31,Felipe el oscuro,Romantica,4.5
10,Joaquin23,50,50 Sombras,Romantica,3
11,AlfonsoD365,70,Punto de quiebre,Acción,5
12,Amlo33,85,El Infierno,Crimen,4
13,Mota12,50,Los juegos del hambre,Ciencia Ficción,5
14,Paniagua15,15,Escandolo Americano,Crimen,3
15,Fer04565,12,Amores Perros,Crimen,2
16,Fede44,15,Rambo,Acción,1.5
17,Beni69,11,El Crimen del Padre Amaro,Adultos,2.5
18,Beatriz65,65,Megalodón,Suspenso,3
19,Juan15,35,JohnWick,Acción,5
20,OmarCCA,65,Las aventuras de Barnie el Dinosaurio,Infantil,5
21,JenniferL05,24,Harry Potter 5,Suspenso,3
22,AnaMaria23,28,El hobbit,Ciencia Ficción,4
23,FelipeBueno,16,Avengers,Ciencia Ficción,5
24,MaribelCCA,69,We are your friends,Romantica,3
25,GerardoCCA,58,Correr o morir,Ciencia Ficción,4
26,JovasCCA,15,SpiderMan un nuevo universo,Infantil,5
